industry_display,description,rollup
341,Propulsion units and parts for space vehicles and guided missiles manufacturing,Manufacturing - Aerospace
342,Railroad rolling stock manufacturing,Manufacturing - Other Vehicles
343,Ship building and repairing,Manufacturing - Other Vehicles
344,Boat building,Manufacturing - Other Vehicles
345,"Motorcycle, bicycle, and parts manufacturing",Manufacturing - Other Vehicles
346,"Military armored vehicle, tank, and tank component manufacturing",Manufacturing - Other Vehicles
347,All other transportation equipment manufacturing,Manufacturing - Other Vehicles
348,Wood kitchen cabinet and countertop manufacturing,Manufacturing - Furniture
349,Upholstered household furniture manufacturing,Manufacturing - Furniture
350,Nonupholstered wood household furniture manufacturing,Manufacturing - Furniture
351,Other household nonupholstered furniture manufacturing,Manufacturing - Furniture
352,Institutional furniture manufacturing,Manufacturing - Furniture
353,Wood office furniture manufacturing,Manufacturing - Furniture
354,Custom architectural woodwork and millwork,Manufacturing - Furniture
355,"Office furniture, except wood, manufacturing",Manufacturing - Furniture
356,"Showcase, partition, shelving, and locker manufacturing",Manufacturing - Furniture
357,Mattress manufacturing,Manufacturing - Furniture
358,Blind and shade manufacturing,Manufacturing - Furniture
359,Surgical and medical instrument manufacturing,Manufacturing - Medical Equipment
360,Surgical appliance and supplies manufacturing,Manufacturing - Medical Equipment
361,Dental equipment and supplies manufacturing,Manufacturing - Medical Equipment
362,Ophthalmic goods manufacturing,Manufacturing - Medical Equipment
363,Dental laboratories,Manufacturing - Medical Equipment
364,Jewelry and silverware manufacturing,Manufacturing - Other
365,Sporting and athletic goods manufacturing,Manufacturing - Other
366,"Doll, toy, and game manufacturing",Manufacturing - Other
367,Office supplies (except paper) manufacturing,Manufacturing - Other
368,Sign manufacturing,Manufacturing - Other
369,"Gasket, packing, and sealing device manufacturing",Manufacturing - Other
370,Musical instrument manufacturing,Manufacturing - Other
371,"Fasteners, buttons, needles, and pins manufacturing",Manufacturing - Other
372,"Broom, brush, and mop manufacturing",Manufacturing - Other
373,Burial casket manufacturing,Manufacturing - Other
374,All other miscellaneous manufacturing,Manufacturing - Other
375,Wholesale - Motor vehicle and motor vehicle parts and supplies,Wholesale
376,Wholesale - Professional and commercial equipment and supplies,Wholesale
377,Wholesale - Household appliances and electrical and electronic goods,Wholesale
378,"Wholesale - Machinery, equipment, and supplies",Wholesale
379,Wholesale - Other durable goods merchant wholesalers,Wholesale
380,Wholesale - Drugs and druggists’ sundries,Wholesale
381,Wholesale - Grocery and related product wholesalers,Wholesale
382,Wholesale - Petroleum and petroleum products,Wholesale
383,Wholesale - Other nondurable goods merchant wholesalers,Wholesale
384,Wholesale - Wholesale electronic markets and agents and brokers,Wholesale
385,Retail - Motor vehicle and parts dealers,Retail
386,Retail - Furniture and home furnishings stores,Retail
387,Retail - Electronics and appliance stores,Retail
388,Retail - Building material and garden equipment and supplies stores,Retail
389,Retail - Food and beverage stores,Retail
390,Retail - Health and personal care stores,Retail
391,Retail - Gasoline stores,Retail
392,Retail - Clothing and clothing accessories stores,Retail
393,"Retail - Sporting goods, hobby, musical instrument and book stores",Retail
394,Retail - General merchandise stores,Retail
395,Retail - Miscellaneous store retailers,Retail
396,Air transportation,Transportation & Warehousing
397,Rail transportation,Transportation & Warehousing
398,Water transportation,Transportation & Warehousing
399,Truck transportation,Transportation & Warehousing
400,Transit and ground passenger transportation,Transportation & Warehousing
